"","Code","Nuance"
"1","LEXG","Liste d'extrême-gauche"
"2","LFI","Liste de La France insoumise"
"3","LCOM","Liste du Parti communiste français"
"4","LSOC","Liste du Parti socialiste"
"5","LVEC","Liste Les Ecologistes"
"6","LUG","Liste d'union à gauche"
"7","LDVG","Liste divers gauche"
"8","LECO","Liste écologiste"
"9","LREG","Liste régionaliste"
"10","LDIV","Liste Divers"
"11","LREN","Liste Renaissance"
"12","LMDM","Liste Mouvement démocrate (MoDem)"
"13","LHOR","Liste Horizons"
"14","LUDI","Liste de l'Union des Démocrates et des Indépendants"
"15","LUC","Liste d'union au centre"
"16","LDVC","Liste divers centre"
"17","LLR","Liste des Républicains"
"18","LUD","Liste d'union à droite"
"19","LDVD","Liste divers droite"
"20","LDSV","Liste de droite souverainiste"
"21","LUDR","Liste d'union des droites pour la République"
"22","LRN","Liste du Rassemblement National"
"23","LREC","Liste Reconquête !"
"24","LUXD","Liste d'union à l'extrême-droite"
"25","LEXD","Liste d'extrême droite"
