Code commune,Libellé commune,Code BV,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,Nuance liste 1,Voix 1,% Voix/inscrits 1,% Voix/exprimés 1,Nuance liste 2,Voix 2,% Voix/inscrits 2,% Voix/exprimés 2,Nuance liste 3,Voix 3,% Voix/inscrits 3,% Voix/exprimés 3,Nuance liste 4,Voix 4,% Voix/inscrits 4,% Voix/exprimés 4,codeBureauVote
62001,Ablain-Saint-Nazaire,0001,680,477,70.15,203,29.85,454,66.76,95.18,11,1.62,2.31,12,1.76,2.52,NA,158,23.24,34.8,NA,296,43.53,65.2,NA,NA,NA,NA,NA,NA,NA,NA,62001_0001
62001,Ablain-Saint-Nazaire,0002,824,584,70.87,240,29.13,552,66.99,94.52,20,2.43,3.42,12,1.46,2.05,NA,195,23.67,35.33,NA,357,43.33,64.67,NA,NA,NA,NA,NA,NA,NA,NA,62001_0002
62003,Acheville,0001,525,394,75.05,131,24.95,389,74.1,98.73,2,0.38,0.51,3,0.57,0.76,NA,239,45.52,61.44,NA,150,28.57,38.56,NA,NA,NA,NA,NA,NA,NA,NA,62003_0001
62019,Aix-Noulette,0001,951,639,67.19,312,32.81,619,65.09,96.87,10,1.05,1.56,10,1.05,1.56,LDVD,78,8.2,12.6,LDVG,328,34.49,52.99,LDVG,213,22.4,34.41,NA,NA,NA,NA,62019_0001
62019,Aix-Noulette,0002,927,649,70.01,278,29.99,620,66.88,95.53,21,2.27,3.24,8,0.86,1.23,LDVD,86,9.28,13.87,LDVG,310,33.44,50,LDVG,224,24.16,36.13,NA,NA,NA,NA,62019_0002
62019,Aix-Noulette,0003,1145,779,68.03,366,31.97,749,65.41,96.15,19,1.66,2.44,11,0.96,1.41,LDVD,76,6.64,10.15,LDVG,439,38.34,58.61,LDVG,234,20.44,31.24,NA,NA,NA,NA,62019_0003
62032,Angres,0001,951,687,72.24,264,27.76,659,69.3,95.92,13,1.37,1.89,15,1.58,2.18,LCOM,314,33.02,47.65,LDIV,345,36.28,52.35,NA,NA,NA,NA,NA,NA,NA,NA,62032_0001
62032,Angres,0002,841,586,69.68,255,30.32,574,68.25,97.95,5,0.59,0.85,7,0.83,1.19,LCOM,272,32.34,47.39,LDIV,302,35.91,52.61,NA,NA,NA,NA,NA,NA,NA,NA,62032_0002
62032,Angres,0003,856,552,64.49,304,35.51,540,63.08,97.83,8,0.93,1.45,4,0.47,0.72,LCOM,216,25.23,40,LDIV,324,37.85,60,NA,NA,NA,NA,NA,NA,NA,NA,62032_0003
62032,Angres,0004,776,502,64.69,274,35.31,483,62.24,96.22,3,0.39,0.6,16,2.06,3.19,LCOM,207,26.68,42.86,LDIV,276,35.57,57.14,NA,NA,NA,NA,NA,NA,NA,NA,62032_0004
62033,Annay,0001,1058,676,63.89,382,36.11,642,60.68,94.97,25,2.36,3.7,9,0.85,1.33,LDVG,146,13.8,22.74,LDVG,64,6.05,9.97,LDVG,174,16.45,27.1,LECO,258,24.39,40.19,62033_0001
62033,Annay,0002,1024,621,60.64,403,39.36,594,58.01,95.65,18,1.76,2.9,9,0.88,1.45,LDVG,131,12.79,22.05,LDVG,31,3.03,5.22,LDVG,171,16.7,28.79,LECO,261,25.49,43.94,62033_0002
62033,Annay,0003,1298,812,62.56,486,37.44,763,58.78,93.97,34,2.62,4.19,15,1.16,1.85,LDVG,155,11.94,20.31,LDVG,75,5.78,9.83,LDVG,222,17.1,29.1,LECO,311,23.96,40.76,62033_0003
62065,Avion,0001,1050,635,60.48,415,39.52,626,59.62,98.58,4,0.38,0.63,5,0.48,0.79,LRN,134,12.76,21.41,LFI,32,3.05,5.11,LUG,460,43.81,73.48,NA,NA,NA,NA,62065_0001
