"Code","Nuance"
"LEXG","Liste d'extrême-gauche"
"LFI","Liste de La France insoumise"
"LCOM","Liste du Parti communiste français"
"LSOC","Liste du Parti socialiste"
"LVEC","Liste Les Ecologistes"
"LUG","Liste d'union à gauche"
"LDVG","Liste divers gauche"
"LECO","Liste écologiste"
"LREG","Liste régionaliste"
"LDIV","Liste Divers"
"LREN","Liste Renaissance"
"LMDM","Liste Mouvement démocrate (MoDem)"
"LHOR","Liste Horizons"
"LUDI","Liste de l'Union des Démocrates et des Indépendants"
"LUC","Liste d'union au centre"
"LDVC","Liste divers centre"
"LLR","Liste des Républicains"
"LUD","Liste d'union à droite"
"LDVD","Liste divers droite"
"LDSV","Liste de droite souverainiste"
"LUDR","Liste d'union des droites pour la République"
"LRN","Liste du Rassemblement National"
"LREC","Liste Reconquête !"
"LUXD","Liste d'union à l'extrême-droite"
"LEXD","Liste d'extrême droite"
